road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,37.0,,0.7406810522079468,,,,
Wolffs Road,415.0,62.0,1.5,0.33793872594833374,1541399.5997000295,5199464.992935364,,3.67
Poyntzs Road,711.0,77.0,0.5,0.9878538846969604,1544309.37631176,5199297.173685038,,2.67
Pesters Road,291.0,28.0,0.47,1.1885735988616943,1545887.230385062,5198221.8906949,,2.64
Downs Road,446.0,100.0,0.62,1.0098718404769897,1549332.4959241026,5198109.830111754,,2.79
Browns Road,470.0,173.0,1.35,0.9003822803497314,1551686.3025964294,5191920.588597631,,3.52
Two Chain Road,548.0,180.0,1.48,0.8840481042861938,1558309.962999199,5197673.69987119,,3.65
Diversion Road,98.0,71.0,2.48,0.4344273507595062,1561307.3629998511,5191048.920883765,,4.65
Wrights Road,447.0,17.0,,0.1518295258283615,,,,
Dixon Road,285.0,8.0,0.94,0.19382286071777344,1535967.60317967,5197190.657931589,,3.12
South Eyre Road,1465.0,527.0,0.68,1.1707719564437866,1560661.9488735516,5193206.796333508,,2.85
Thongcaster Road,382.0,17.0,4.38,0.16851603984832764,1548862.8626517523,5190529.480870531,,6.55
Domain Road,280.0,6.0,,0.14504952728748322,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
