road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,132.0,0.75,1.0161806344985962,1537343.845188636,5196075.0964812245,,2.92
Wolffs Road,415.0,149.0,1.33,1.0367484092712402,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,208.0,1.83,0.9733613133430481,1541573.0210736603,5193769.013495269,,4.01
Pesters Road,291.0,94.0,2.25,1.1696383953094482,1543534.0241761813,5194511.775579985,,4.42
Downs Road,446.0,199.0,3.18,1.620890736579895,1547912.308023883,5192991.628707482,,5.35
Browns Road,470.0,239.0,4.17,0.9000748991966248,1551816.242646211,5192072.626696352,,6.34
Two Chain Road,548.0,243.0,5.0,0.8822399377822876,1555337.8146257182,5191721.685708716,,7.17
Diversion Road,98.0,92.0,6.65,0.47901496291160583,1561310.311093997,5190974.430343832,,8.82
Wrights Road,447.0,42.0,0.25,1.6885879039764404,1535228.1049340167,5196871.75226356,,2.42
Dixon Road,285.0,120.0,1.0,0.8207098245620728,1536087.1998538794,5197154.303626231,,3.17
South Eyre Road,1465.0,533.0,8.28,1.1823838949203491,1562489.2144522136,5193052.0532720955,,10.45
Thongcaster Road,382.0,29.0,,0.23052050173282623,,,,
Domain Road,280.0,6.0,,0.14493831992149353,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
