road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,86.0,0.79,0.9912643432617188,1537378.1389839933,5196195.300206625,,2.96
Wolffs Road,415.0,89.0,1.35,0.9795874953269958,1539463.7936623686,5194977.41470122,,3.52
Poyntzs Road,711.0,145.0,1.9,0.9365612864494324,1541573.0210736603,5193769.013495269,,4.07
Pesters Road,291.0,63.0,2.29,0.5406360626220703,1543534.0241761813,5194511.775579985,,4.46
Downs Road,446.0,68.0,3.36,1.0744191408157349,1547813.932296231,5193456.293450845,,5.53
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,330.0,0.0,,0.0,,,,
Diversion Road,,,,,,,not in roads layer,
Wrights Road,447.0,22.0,0.2,1.8311580419540405,1535228.1049340167,5196871.75226356,,2.37
Dixon Road,285.0,114.0,1.02,0.7030574083328247,1536518.6372346198,5197026.391451945,,3.19
South Eyre Road,1290.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,0.0,,0.0,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
