road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,94.0,0.77,0.9929915070533752,1537309.5513932786,5195954.892755825,,2.94
Wolffs Road,415.0,105.0,1.32,1.0620815753936768,1539453.8746812814,5194954.466633454,,3.5
Poyntzs Road,711.0,218.0,1.87,1.052351951599121,1541880.1196039754,5194284.464787281,,4.04
Pesters Road,291.0,104.0,2.21,0.6969960331916809,1543547.320497774,5194532.946499476,,4.38
Downs Road,446.0,156.0,3.13,1.2687255144119263,1547824.661238293,5193407.4581173025,,5.31
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,22.0,0.2,1.8334875106811523,1535228.1049340167,5196871.75226356,,2.37
Dixon Road,285.0,129.0,1.03,0.7597226500511169,1536518.6372346198,5197026.391451945,,3.2
South Eyre Road,1465.0,28.0,,0.1457594335079193,,,,
Thongcaster Road,382.0,4.0,,0.2120427042245865,,,,
Domain Road,280.0,3.0,,0.11576765030622482,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
