road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,132.0,0.75,1.0161941051483154,1537343.845188636,5196075.0964812245,,2.92
Wolffs Road,415.0,146.0,1.33,1.0358898639678955,1539424.120859719,5194885.621080981,,3.51
Poyntzs Road,711.0,208.0,1.83,0.9508435726165771,1541573.0210736603,5193769.013495269,,4.01
Pesters Road,291.0,93.0,2.31,1.1504303216934204,1543534.0241761813,5194511.775579985,,4.48
Downs Road,446.0,202.0,3.18,1.768104076385498,1547912.308023883,5192991.628707482,,5.35
Browns Road,470.0,233.0,4.25,0.89437335729599,1551881.2126711018,5192148.645745712,,6.42
Two Chain Road,548.0,246.0,5.08,0.8742124438285828,1555169.6995234536,5191387.973488133,,7.26
Diversion Road,98.0,92.0,6.75,0.4897080659866333,1561312.5635267792,5190999.328668004,,8.92
Wrights Road,447.0,42.0,0.25,1.6885850429534912,1535228.1049340167,5196871.75226356,,2.42
Dixon Road,285.0,120.0,1.0,0.8552775979042053,1536087.1998538794,5197154.303626231,,3.17
South Eyre Road,1465.0,531.0,8.31,1.176058053970337,1562489.2144522136,5193052.0532720955,,10.48
Thongcaster Road,382.0,29.0,,0.23187628388404846,,,,
Domain Road,280.0,6.0,,0.14495159685611725,,,,
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
