road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,53.0,1.25,0.4751940369606018,1537738.4997122858,5197418.266134877,,1.25
Wolffs Road,415.0,49.0,1.98,0.5173238515853882,1540049.9146069223,5196340.222522129,,1.98
Poyntzs Road,711.0,45.0,2.87,0.4431569576263428,1542642.5884024545,5195770.382513667,,2.87
Pesters Road,291.0,44.0,3.45,0.5007171034812927,1544369.1896501416,5195831.4166444065,,3.45
Downs Road,446.0,0.0,,0.0,,,,
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,22.0,0.57,0.9242590665817261,1535431.3781986202,5197562.6843401855,,0.57
Dixon Road,285.0,129.0,0.27,0.9187968373298645,1534554.5263999708,5197613.516545998,,0.27
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,18.0,0.51,0.8070030808448792,1535301.4817430023,5197726.170620914,,0.51
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
