road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,99.0,0.9,0.7676728963851929,1537745.465205804,5197442.276172361,,2.0
Wolffs Road,415.0,106.0,1.41,0.8368560075759888,1540049.9146069223,5196340.222522129,,2.51
Poyntzs Road,711.0,106.0,2.07,0.7779655456542969,1542642.5884024545,5195770.382513667,,3.17
Pesters Road,291.0,74.0,2.49,0.7671644687652588,1544369.1896501416,5195831.4166444065,,3.59
Downs Road,446.0,57.0,3.57,0.9167212843894958,1548261.0247480713,5194952.58509249,,4.67
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,31.0,0.35,1.6040478944778442,1535388.9784723322,5197418.803598136,,1.45
Dixon Road,285.0,147.0,0.14,2.087244987487793,1534890.1484962283,5197514.230048911,,1.24
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,22.0,0.35,1.5361460447311401,1535346.8918373112,5197609.710656399,,1.45
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
