road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,88.0,1.25,0.6589619517326355,1537738.4997122858,5197418.266134877,,2.93
Wolffs Road,415.0,96.0,1.9,0.7659622430801392,1540088.3416769796,5196432.544568721,,3.58
Poyntzs Road,711.0,101.0,2.62,0.7691010236740112,1542624.238748233,5195723.871330175,,4.3
Pesters Road,291.0,74.0,3.06,0.7634366750717163,1544355.791873284,5195810.309783548,,4.74
Downs Road,446.0,0.0,,0.0,,,,
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,27.0,0.48,1.3180733919143677,1535388.9784723322,5197418.803598136,,2.16
Dixon Road,285.0,131.0,0.26,1.4663842916488647,1534890.1484962283,5197514.230048911,,1.94
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,19.0,0.5,1.2107083797454834,1535365.0558750348,5197563.126670592,,2.18
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
