road,sample_points,points_inundated_gt_0.1m,first_arrival_h,max_depth_m,first_arrival_E,first_arrival_N,note,first_arrival_after_pond1_failure_h
Carleton Road,664.0,83.0,1.28,0.6547542214393616,1537738.4997122858,5197418.266134877,,3.45
Wolffs Road,415.0,93.0,1.94,0.757445216178894,1540049.9146069223,5196340.222522129,,4.12
Poyntzs Road,711.0,96.0,2.67,0.7425384521484375,1542615.063921122,5195700.615738427,,4.84
Pesters Road,291.0,70.0,3.1,0.7409197688102722,1544328.9963195687,5195768.096061832,,5.27
Downs Road,446.0,0.0,,0.0,,,,
Browns Road,470.0,0.0,,0.0,,,,
Two Chain Road,548.0,0.0,,0.0,,,,
Diversion Road,98.0,0.0,,0.0,,,,
Wrights Road,447.0,27.0,0.5,1.3170974254608154,1535388.9784723322,5197418.803598136,,2.67
Dixon Road,285.0,130.0,0.26,1.4831732511520386,1534890.1484962283,5197514.230048911,,2.43
South Eyre Road,1465.0,0.0,,0.0,,,,
Thongcaster Road,382.0,0.0,,0.0,,,,
Domain Road,280.0,19.0,0.52,1.209579348564148,1535346.8918373112,5197609.710656399,,2.69
Barrett Road,348.0,0.0,,0.0,,,,
Kennedy Road,,,,,,,not in roads layer,
